uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"38831956-1cb3-48ed-a49e-9b03487e0d94","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=",,"HvxvVDlCk1+52DmmtjULpk2KHiWTONl2AyBk/0pbYcI=",,"2017-07-24T12:29Z","2020-10-13",1,0.205,25,0.160,0.571,1.035,0.421,0.148,141.8,46.0,6.6,78.6,18.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"1a6ee855-aae9-4a19-a409-6746a6130d29","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=",,"HvxvVDlCk18recdnuMUehunN/NlpHPvs7GwOX4Woi0wqWo0XAe6E9A==",,"2017-07-24T13:06Z","2020-10-13",1,0.206,25,0.235,0.945,1.402,0.418,0.207,34.1,53.5,6.8,17.2,14.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"f9e5207b-d0a7-4a20-bb1c-d43f43c1b9c6","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=",,"HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRtx+LCXQyZWQ=",,"2017-07-24T15:09Z","2020-10-13",1,0.201,25,0.157,0.839,2.506,0.560,0.159,361.7,64.1,7.0,47.0,21.8,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"33aa2396-9ced-4f14-833c-50c58e0700b2","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=",,"HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oJmhmKxzDCY=",,"2017-07-25T13:28Z","2020-10-13",1,0.202,25,0.191,1.824,2.194,0.401,0.124,109.9,33.2,9.5,40.2,22.4,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"205b6395-b990-418e-aab2-5c208d6fcedd","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=",,"HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcxBJk92JCu1ErBe8+n81eiw==",,"2017-07-25T13:29Z","2020-10-13",1,0.200,25,0.161,1.407,1.524,0.302,0.205,60.9,37.0,26.1,37.2,17.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"62d282ef-bdd9-4221-813c-ab3f80989999","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=",,"HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNKVYrgd/2kEY=",,"2017-07-25T14:26Z","2020-10-13",1,0.201,25,0.092,0.983,1.087,0.274,0.127,1958.0,38.7,6.6,34.5,37.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"6d8fb7b1-fa9d-4eb8-97bf-d1545ced529c","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=",,"HvxvVDlCk1883DeQw28MdnJFN2Yr4f0aEQ9c64G813o=",,"2017-07-25T16:57Z","2020-10-15",1,0.204,25,0.175,1.633,1.744,0.338,0.143,157.5,43.1,10.6,31.1,19.8,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"20cb8149-3afa-4ef0-a936-b86f543d058f","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=",,"HvxvVDlCk18oNCQQptCKY1FS/2EKbyWziHTr/14x71s=",,"2017-07-26T13:50Z","2020-02-10",1,0.205,25,0.120,0.974,1.810,0.642,0.159,1584.0,33.9,8.5,15.2,17.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"521dc1a7-dac5-4a7e-b0ad-2b3515a20cd2","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=",,"HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzEEwfXuIEu8s=",,"2017-07-26T15:52Z","2020-02-10",1,0.202,25,0.107,0.832,0.688,0.276,0.128,1556.0,43.8,7.8,19.8,26.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"236aa4a4-ccbd-4762-8041-c5c98d06cbd6","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk1+KVx888dV2UvUKxPneZWVxjm4EVnGl/t4=",,"HvxvVDlCk1+KVx888dV2UvUKxPneZWVxwQsuDXfTVwE=",,"2017-07-26T17:54Z","2020-10-15",1,0.196,25,0.133,1.475,1.569,0.437,0.130,185.0,55.0,8.1,33.6,19.4,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"952240dd-07d6-42c2-8bdf-b6efe829f502","SCBI_010.basePlot.cfc","D02","SCBI","SCBI_010","distributed","HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq64SBG3RfAhI4=",,"HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq6tOEbWMwSyvQTdeYfY2sWfQ==",,"2017-07-27T14:24Z","2020-10-13",1,0.198,25,0.202,1.200,2.552,0.485,0.239,168.2,123.5,6.5,65.3,23.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"6ab6faee-0999-4159-aff5-3d7d4668553a","SCBI_010.basePlot.cfc","D02","SCBI","SCBI_010","distributed","HvxvVDlCk1+ZFcUrkrclmF6kKcmWmFa6MtBN6OugIbU=",,"HvxvVDlCk1+ZFcUrkrclmF6kKcmWmFa6a6JhtvkGOPhroCveMhop6w==",,"2017-07-27T16:32Z","2020-10-13",1,0.195,25,0.184,2.059,1.706,0.252,0.163,259.4,390.7,11.3,39.4,18.4,"OK","OK","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
