uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"49394289-5bc4-4282-95e0-f635537a24e5","BONA_084.basePlot.cfc","D19","BONA","BONA_084","tower","deciduousForest","WGS84",65.155247,-147.512957,20.2,263.5,0.20,"NEON.DOC.001024vF","2019-08-01T19:00Z","2019-07-31",,"39","Woody individual","pole pruner","7uHsYbyZiKbnZITO0PATPwUHccIA7DHfPCPOtSSMx6s=","A00000100416","OK","7uHsYbyZiKbnZITO0PATPwUHccIA7DHf/pGxx82lme/XT6oDVBI0CQ==","B00000046495","OK",,,,,100,,"N","03913Z","NEON.PLA.D19.BONA.03913Z","POTR5","Populus tremuloides Michx.","Insect damaged",,,5.7,,,,,,"0000-0003-1678-1246","0000-0002-8265-3907",,
"ae83e857-546a-4f02-9d82-12196cb074c4","BONA_084.basePlot.cfc","D19","BONA","BONA_084","tower","deciduousForest","WGS84",65.155247,-147.512957,20.2,263.5,0.20,"NEON.DOC.001024vF","2019-08-01T19:34Z","2019-07-31",,,"Woody individual",,"7uHsYbyZiKbnZITO0PATP8Ocv1M4hhmBme/MvGblEvA=","A00000100420","OK","7uHsYbyZiKbnZITO0PATP8Ocv1M4hhmBOs5WzFUICK4y6hxmxmesfg==","B00000046491","OK",,,,,100,,"N","03916Z","NEON.PLA.D19.BONA.03916Z","POTR5","Populus tremuloides Michx.","Insect damaged",,,6.8,,,,,,"0000-0003-1678-1246","0000-0002-8265-3907",,
"cc8f3b7f-8db7-4eff-a8bd-6c9f50cf863a","BONA_084.basePlot.cfc","D19","BONA","BONA_084","tower","deciduousForest","WGS84",65.155247,-147.512957,20.2,263.5,0.20,"NEON.DOC.001024vF","2019-08-01T20:28Z","2019-07-31",,,"Woody individual","pole pruner","7uHsYbyZiKbnZITO0PATP/+l58AfMol9CZPrl4nyPuE=","A00000100418","OK","7uHsYbyZiKbnZITO0PATP/+l58AfMol9gnRAOhzDYNIRgwNZ55SJGQ==","B00000046493","OK",,,,,100,,"N","00989","NEON.PLA.D19.BONA.00989","POTR5","Populus tremuloides Michx.","Insect damaged",,,5.8,,,,,,"0000-0003-1678-1246","0000-0002-8265-3907",,
"b85dad13-3029-4c96-b1fd-3c00dbe49185","BONA_084.basePlot.cfc","D19","BONA","BONA_084","tower","deciduousForest","WGS84",65.155247,-147.512957,20.2,263.5,0.20,"NEON.DOC.001024vF","2019-08-01T20:46Z","2019-07-31",,"41","Woody individual","clippers","7uHsYbyZiKbnZITO0PATPw/Vf5IgKjQsILjugwOAvHQ=","A00000100419","OK","7uHsYbyZiKbnZITO0PATPw/Vf5IgKjQs30mQBbSlEQVrW1Ih83PWig==","B00000046492","OK",,,,,100,,"Y","00955","NEON.PLA.D19.BONA.00955","POTR5","Populus tremuloides Michx.","Insect damaged",,,0.5,,,,,,"0000-0003-1678-1246","0000-0002-8265-3907",,
