ID,occurrenceID,catalogNumber,otherCatalogNumbers,NEON_ID,Absorbance,Slope ,Intercept,ppm_P_root,mg P_g_root,percent_P_root,percent_C_root,percent_N_root,CN_root,13C_root,15N_root,plotID,decimalLatitude,decimalLongitude
71,NEON00ZNN,NEON00ZNN,NEON sampleID: BBC.SCBI047654.20170913.2-10.POOL.AR,246730,0.829,0.0508,0.1402,13.5590551,0.677952755,0.000677953,46.66,0.66,70.5,-29,-2.2,SCBI_047,38.893934,-78.135517
72,NEON00ZNO,NEON00ZNO,NEON sampleID: BBC.SCBI047654.20170913.05-1.POOL.AR,246731,1.511,0.0508,0.1402,26.984252,1.3492126,0.001349213,43.62,1.61,27.15,-29.15,-0.4,SCBI_047,38.893934,-78.135517
73,NEON00ZNR,NEON00ZNR,NEON sampleID: BBC.SCBI046153.20170823.2-10.POOL.AR,246734,0.807,0.0508,0.1402,13.1259843,0.656299215,0.000656299,45.55,0.46,98.8,-26.9,-0.7,SCBI_046,38.895117,-78.138236
74,NEON00ZNT,NEON00ZNT,NEON sampleID: BBC.SCBI046153.20170823.05-1.POOL.AR,246736,1.17866667,0.0508,0.1402,20.4422572,1.02211286,0.001022113,45.24,1.23,36.7,-28.7,0.1,SCBI_046,38.889714,-78.138472
75,NEON00ZJ9,NEON00ZJ9,NEON sampleCode (barcode): A00000039208; NEON sampleID: BBC.GUAN045943.20181024.2-10.POOL.AR,244888,0.376,0.0508,0.1402,4.64173228,0.232086614,0.000232087,44.18,0.64,68.9,-26.8,0.3,GUAN_045,17.969212,-66.873903
76,NEON00ZJB,NEON00ZJB,NEON sampleCode (barcode): A00000039219; NEON sampleID: BBC.GUAN045943.20181024.05-1.POOL.AR,244890,0.50833333,0.0508,0.1402,7.24671916,0.362335958,0.000362336,45.67,1.13,40.3,-27.2,1.3,GUAN_045,17.969212,-66.873903
77,NEON00ZL1,NEON00ZL1,NEON sampleCode (barcode): A00000039210; NEON sampleID: BBC.GUAN047885.20181101.2-10.POOL.AR,244972,0.57633333,0.0508,0.1402,8.58530184,0.429265092,0.000429265,44.15,0.89,49.5,-26.7,-0.5,GUAN_047,17.973185,-66.866786
78,NEON00ZL3,NEON00ZL3,NEON sampleCode (barcode): A00000039196; NEON sampleID: BBC.GUAN047885.20181101.0-05.POOL.AR,244974,0.77133333,0.0508,0.1402,12.4238845,0.621194225,0.000621194,45.55,1.63,28,-26.7,-0.1,GUAN_047,17.973185,-66.866786
79,NEON00ZKX,NEON00ZKX,NEON sampleCode (barcode): A00000039503; NEON sampleID: BBC.GUAN049386.20181101.2-10.POOL.AR,244968,0.49966667,0.0508,0.1402,7.07611549,0.353805775,0.000353806,45.56,1.21,37.8,-26.5,2.3,GUAN_049,17.967743,-66.8643
80,NEON00ZKZ,NEON00ZKZ,NEON sampleCode (barcode): A00000039470; NEON sampleID: BBC.GUAN049386.20181101.05-1.POOL.AR,244970,0.63066667,0.0508,0.1402,8.95257732,0.447628866,0.000447629,47.375,2.15,22.9,-26.9,1.55,GUAN_049,17.967743,-66.8643
81,NEON00ZK8,NEON00ZK8,NEON sampleCode (barcode): A00000039206; NEON sampleID: BBC.GUAN056036.20181023.2-10.POOL.AR,244943,0.29533333,0.0508,0.1402,3.05380577,0.152690289,0.00015269,47.19,0.58,81.36206897,-28.2,0.5,GUAN_056,17.971008,-66.865387
82,NEON00ZKA,NEON00ZKA,NEON sampleCode (barcode): A00000039683; NEON sampleID: BBC.GUAN056036.20181023.05-1.POOL.AR,244945,0.444,0.0508,0.1402,5.529897,0.27649485,0.000276495,47.37,0.97,49,-28.4,1.1,GUAN_056,17.971008,-66.865387
83,NEON00ZK2,NEON00ZK2,NEON sampleCode (barcode): A00000039423; NEON sampleID: BBC.GUAN057607.20181030.2-10.POOL.AR,244937,0.38366667,0.0508,0.1402,4.79265092,0.239632546,0.000239633,45.89,0.91,50.5,-26.8,1.7,GUAN_057,17.96857,-66.865136
84,NEON00ZK4,NEON00ZK4,NEON sampleCode (barcode): A00000039405; NEON sampleID: BBC.GUAN057607.20181030.05-1.POOL.AR,244939,0.569,0.0508,0.1402,7.811683849,0.390584192,0.000390584,39.66,1.39,28.5,-27.2,1.9,GUAN_057,17.96857,-66.865136
85,NEON01013,NEON01013,NEON sampleCode (barcode): A00000077928; NEON sampleID: BBC.UNDE037620.20190812.0-1.POOL.AR,481043,0.93933333,0.0508,0.1402,15.0419244,0.75209622,0.000752096,48.06,1.06,45.5,-29.2,-1.4,UNDE_037,46.231276,-89.541941
86,NEON01015,NEON01015,NEON sampleCode (barcode): A00000077927; NEON sampleID: BBC.UNDE037620.20190812.2-10.POOL.AR,481045,0.72866667,0.0508,0.1402,11.3580756,0.56790378,0.000567904,46.98,0.46,102.3,-28.4,-1.6,UNDE_037,46.231276,-89.541941
87,NEON01019,NEON01019,NEON sampleCode (barcode): A00000077977; NEON sampleID: BBC.UNDE043415.20190813.0-1.POOL.AR,481049,1.03566667,0.0508,0.1402,17.60549828,0.880274914,0.000880275,49.99,0.97,51.8,-29.6,0.7,UNDE_043,46.234247,-89.542459
88,NEON0101B,NEON0101B,NEON sampleCode (barcode): A00000077947; NEON sampleID: BBC.UNDE043415.20190813.2-10.POOL.AR,481051,0.802,0.0508,0.1402,13.0275591,0.651377955,0.000651378,49.52,0.45,110.1,-29.6,-0.9,UNDE_043,46.234247,-89.542459
89,NEON02C2Y,NEON02C2Y,NEON sampleCode (barcode): A00000078272; NEON sampleID: BBC.UNDE048632.20190812.0-1.POOL.AR,665441,0.98633333,0.0508,0.1402,16.656168,0.8328084,0.000832808,48.73,1.05,46.3,-28.6,0,UNDE_048,46.232136,-89.540445
90,NEON02C30,NEON02C30,NEON sampleCode (barcode): A00000078264; NEON sampleID: BBC.UNDE048632.20190812.2-10.POOL.AR,665443,0.69166667,0.0508,0.1402,10.855643,0.54278215,0.000542782,48.79,0.55,89.4,-29.2,-1.8,UNDE_048,46.232136,-89.540445
91,NEON0101M,NEON0101M,NEON sampleCode (barcode): A00000077938; NEON sampleID: BBC.UNDE049136.20190820.0-1.POOL.AR,481062,1.13633333,0.0508,0.1402,19.6089239,0.980446195,0.000980446,44.98,1.57,28.7,-30.9,-0.1,UNDE_049,46.230581,-89.536457
92,NEON0101N,NEON0101N,NEON sampleCode (barcode): A00000077936; NEON sampleID: BBC.UNDE049136.20190820.2-10.POOL.AR,481063,0.68666667,0.0508,0.1402,10.7572178,0.53786089,0.000537861,44.79,0.97,46,-29.7,-0.1,UNDE_049,46.230581,-89.536457
93,NEON02C3L,NEON02C3L,NEON sampleCode (barcode): A00000079044; NEON sampleID: BBC.UNDE057191.20190813.0-1.POOL.AR,665464,0.944,0.0508,0.1402,15.8228346,0.79114173,0.000791142,48.88,1.18,41.6,-27.9,-2,UNDE_057,46.2343,-89.540921
94,NEON02C3M,NEON02C3M,NEON sampleCode (barcode): A00000079042; NEON sampleID: BBC.UNDE057191.20190813.2-10.POOL.AR,665465,0.447,0.0508,0.1402,6.03937008,0.301968504,0.000301969,50.01,0.64,78.1,-27.3,-2.2,UNDE_057,46.2343,-89.540921
95,NEON00ZUY,NEON00ZUY,NEON sampleCode (barcode): A00000083805; NEON sampleID: BBC.DELA040291.20190716.0-1.POOL.AR,394477,1.87,0.0508,0.1402,34.0511811,1.702559055,0.001702559,43.07,1.27,33.8,-29.2,3.7,DELA_040,32.53881,-87.804512
96,NEON00ZV0,NEON00ZV0,NEON sampleCode (barcode): A00000083771; NEON sampleID: BBC.DELA040291.20190716.2-10.POOL.AR,394479,1.52266667,0.0508,0.1402,27.2139108,1.36069554,0.001360696,44.23,0.55,80.9,-28.1,2.6,DELA_040,32.53881,-87.804512
97,NEON00ZV1,NEON00ZV1,NEON sampleCode (barcode): A00000083840; NEON sampleID: BBC.DELA041044.20190729.0-1.POOL.AR,394480,1.416,0.0508,0.1402,25.1141732,1.25570866,0.001255709,47.36,1.16,40.7,-28.7,4.9,DELA_041,32.540703,-87.807742
98,NEON00ZV2,NEON00ZV2,NEON sampleCode (barcode): A00000083827; NEON sampleID: BBC.DELA041044.20190729.2-10.POOL.AR,394481,1.259,0.0508,0.1402,22.023622,1.1011811,0.001101181,47.05,0.66,71.6,-28.7,4.2,DELA_041,32.540703,-87.807742
99,NEON00ZV4,NEON00ZV4,NEON sampleCode (barcode): A00000083832; NEON sampleID: BBC.DELA042327.20190729.0-1.POOL.AR,394483,1.49033333,0.0508,0.1402,26.5774278,1.32887139,0.001328871,43.66,0.88,49.6,-30.4,2.6,DELA_042,32.541787,-87.805204
100,NEON00ZV5,NEON00ZV5,NEON sampleCode (barcode): A00000083835; NEON sampleID: BBC.DELA042327.20190729.2-10.POOL.AR,394484,1.173,0.0508,0.1402,20.3307087,1.016535435,0.001016535,44.34,0.53,84.1,-28.3,1.6,DELA_042,32.541787,-87.805204
101,NEON00ZV7,NEON00ZV7,NEON sampleCode (barcode): A00000083818; NEON sampleID: BBC.DELA043575.20190722.0-1.POOL.AR,394486,1.465,0.0508,0.1402,26.0787402,1.30393701,0.001303937,43.59,1.79,24.4,-29.2,0,DELA_043,32.539604,-87.806783
102,NEON00ZV9,NEON00ZV9,NEON sampleCode (barcode): A00000083759; NEON sampleID: BBC.DELA043575.20190722.2-10.POOL.AR,394488,1.703,0.0508,0.1402,31.63298969,1.581649485,0.001581649,41.55,1.01,41.1,-27.7,1,DELA_043,32.539604,-87.806783
103,NEON00ZVK,NEON00ZVK,NEON sampleCode (barcode): A00000083977; NEON sampleID: BBC.DELA047646.20190730.0-1.POOL.AR,394499,1.28333333,0.0508,0.1402,24.48522337,1.224261168,0.001224261,45.71,1.06,43.2,-29.6,2.4,DELA_047,32.539653,-87.800371
104,NEON00ZVM,NEON00ZVM,NEON sampleCode (barcode): A00000083981; NEON sampleID: BBC.DELA047646.20190730.2-10.POOL.AR,394501,3.146,0.0508,0.1402,61.73446667,3.086723333,0.003086723,44.52,0.87,50.9,-30.6,1.6,DELA_047,32.539653,-87.800371
105,NEON00ZFB,NEON00ZFB,NEON sampleCode (barcode): B00000025865; NEON sampleID: BBC.MLBS075710.20180820.2-10.POOL.AR,244678,1.133,0.0508,0.1402,19.5433071,0.977165355,0.000977165,44.38,0.32,136.7,-28.1,-1.6,MLBS_075,31.852659,-88.161998
106,NEON00ZFD,NEON00ZFD,NEON sampleCode (barcode): B00000025861; NEON sampleID: BBC.MLBS075710.20180820.05-1.POOL.AR,244680,1.119,0.0508,0.1402,19.2677165,0.963385825,0.000963386,47.3,0.46,103.5,-28.7,-0.7,MLBS_075,31.852659,-88.161998
