uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"22a4a983-31db-44cd-89b9-ea35f2bd37ea","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IP8p0hpdIfgqA=","A00000066430","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IPrrCbA4ICzKo=","A00000066284","2019-01-15T19:54Z","2019-11-12","N",,-29.8,,52.87,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"1144ca43-0470-4526-be71-55dee2fdbd44","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IP8p0hpdIfgqA=","A00000066430","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IPrrCbA4ICzKo=","A00000066284","2019-01-15T19:54Z","2020-02-06","Y",-1.8,,1.60,,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15N, & N%","Carlo Erba Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"37507519-3624-48fb-81b9-f11c71fc7c6b","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAIcgktBKPsm0=","A00000066454","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmA3GTZCeg2ORA=","A00000066309","2019-01-15T19:57Z","2020-02-06","Y",-10.2,,0.42,,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15N, & N%","Carlo Erba Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"63cb3082-edf5-462f-aebf-b41e3d9ebaec","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAIcgktBKPsm0=","A00000066454","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmA3GTZCeg2ORA=","A00000066309","2019-01-15T19:57Z","2019-11-12","N",,-27.9,,53.17,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"58d618cd-78d4-489a-bb35-d9f769fe593b","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMEWnGhKPB4dA=","A00000066431","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMU9AJ4bBTa0M=","A00000066292","2019-01-15T20:22Z","2020-02-06","Y",-1.9,,0.91,,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15N, & N%","Carlo Erba Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"3465f9b1-5478-4d26-9899-83fa12b2c65b","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMEWnGhKPB4dA=","A00000066431","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMU9AJ4bBTa0M=","A00000066292","2019-01-15T20:22Z","2019-11-12","N",,-30.3,,51.61,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"d6e6ca0a-14c3-49d0-b794-957e94b14413","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKqXQHdbPe+q0=","A00000066433","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKX3QkzRuHask=","A00000066369","2019-01-15T20:37Z","2020-02-06","Y",-1.3,,0.98,,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15N, & N%","Carlo Erba Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"862d55b4-2c8d-4cb4-beda-6593b701fa25","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKqXQHdbPe+q0=","A00000066433","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKX3QkzRuHask=","A00000066369","2019-01-15T20:37Z","2019-11-12","N",,-31.0,,52.82,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"aa9c4a88-27f1-4f9a-a7d7-ef414a54bb34","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0egSCBihpmH8uD6niHowh/UNKGzk0V7QA=","A00000066434","5DDwl49GZC0egSCBihpmH8uD6niHowh/ODrTF8Rz79M=","A00000066407","2019-01-15T21:05Z","2019-11-12","N",,-30.0,,49.72,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"4eabd7cc-677b-43a7-9eaf-c18fc35d3675","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0egSCBihpmH8uD6niHowh/UNKGzk0V7QA=","A00000066434","5DDwl49GZC0egSCBihpmH8uD6niHowh/ODrTF8Rz79M=","A00000066407","2019-01-15T21:05Z","2020-02-06","Y",0.0,,0.89,,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15N, & N%","Carlo Erba Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
