uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"c6828f8f-a5a0-45c3-8baa-b33bed3931c6","SJER_004.basePlot.cfc","D17","SJER","SJER_004","distributed","2kN0Z0OxE8HY/ANLaNM/Z9TQ8MtVrOUgeHOsKlcNqQc=",,"2019-03-26T16:00Z","2019-03-29T00:00Z","2019-04-02T17:03Z","OK","2kN0Z0OxE8HY/ANLaNM/Z9TQ8MtVrOUguxEXqfMtU6Y=","A00000062395","2kN0Z0OxE8HY/ANLaNM/Z9TQ8MtVrOUgskmFxuSlXy403PpBLBAhDg==","A00000062396","2kN0Z0OxE8HY/ANLaNM/Z9TQ8MtVrOUg7S0CqaGRM0U=","A00000062530",,,"0000-0002-9129-5419",,
"6ff7a344-b77d-4b1e-90c3-4ab776aa6ee5","SJER_005.basePlot.cfc","D17","SJER","SJER_005","distributed","2kN0Z0OxE8Hr/ST52veN+F/G0i29hKz+bdOTAX8+mww=",,"2019-03-26T17:15Z","2019-03-29T00:00Z","2019-04-02T15:59Z","OK","2kN0Z0OxE8Hr/ST52veN+F/G0i29hKz+kDkMnT5z5Fw=","A00000061803","2kN0Z0OxE8Hr/ST52veN+F/G0i29hKz+/ZRumtGCB10=","A00000061802","2kN0Z0OxE8Hr/ST52veN+F/G0i29hKz+VjsvhILe6SM=","A00000061800",,"N","0000-0002-9129-5419",,
"e73429fe-eac2-4964-a7dd-0c1160646df8","SJER_005.basePlot.cfc","D17","SJER","SJER_005","distributed","2kN0Z0OxE8GoTaF3l2eqwKj52kbWxr61oywLpDSGm6Y=",,"2019-03-26T17:53Z","2019-03-29T00:00Z","2019-04-02T16:44Z","OK","2kN0Z0OxE8GoTaF3l2eqwKj52kbWxr61NVMJjqwkCjk=","A00000062390","2kN0Z0OxE8GoTaF3l2eqwKj52kbWxr61N7ZM6nE/+I4=","A00000062391","2kN0Z0OxE8GoTaF3l2eqwKj52kbWxr61AY46TVC16FQ=","A00000062392",,,"0000-0002-9129-5419",,
"7b50c975-f76d-4912-a3e9-ada3e055bcc2","SJER_007.basePlot.cfc","D17","SJER","SJER_007","distributed","2kN0Z0OxE8ElZr6rYAw5km9PPEYuhOJY8zUsBFnwhxU=",,"2019-03-26T19:11Z","2019-03-29T00:00Z","2019-04-02T15:29Z","OK","2kN0Z0OxE8ElZr6rYAw5km9PPEYuhOJYx64kfNcL0VA=","A00000061792","2kN0Z0OxE8ElZr6rYAw5km9PPEYuhOJYI2U37KBlQTE=","A00000061791","2kN0Z0OxE8ElZr6rYAw5km9PPEYuhOJY5J2hGFTZYs0=","A00000061790",,"N","0000-0002-9129-5419",,
"3b73262e-a8d4-4fb2-9213-8cb9087cc479","SJER_007.basePlot.cfc","D17","SJER","SJER_007","distributed","2kN0Z0OxE8EXpOZcskMA8lOknWoTJAhLhpKrhYkVQ4Y=",,"2019-03-26T19:52Z","2019-03-29T00:00Z","2019-04-02T16:53Z","OK","2kN0Z0OxE8EXpOZcskMA8lOknWoTJAhL0d05z1nrZ+I=","A00000062393","2kN0Z0OxE8EXpOZcskMA8lOknWoTJAhLZNeX89E2oag=","A00000062394","2kN0Z0OxE8EXpOZcskMA8lOknWoTJAhL2P7izT/Q5Yk=","A00000062531",,,"0000-0002-9129-5419",,
"0f52e4cc-271c-486e-adb6-8e45fcccefcd","SJER_006.basePlot.cfc","D17","SJER","SJER_006","distributed","2kN0Z0OxE8HK7y4Ug7B/m9gTIZ4LtbgRdQ3N0I6UUbw=",,"2019-03-27T15:08Z","2019-03-28T19:00Z","2019-04-02T15:00Z","OK","2kN0Z0OxE8HK7y4Ug7B/m9gTIZ4LtbgRIrVVbpI/7Mk=","A00000061798","2kN0Z0OxE8HK7y4Ug7B/m9gTIZ4LtbgRKIX3BDglsPs=","A00000061797","2kN0Z0OxE8HK7y4Ug7B/m9gTIZ4LtbgR3Rpr6AGRPY8=","A00000061796",,"N","0000-0002-9129-5419",,
"43910a86-2c90-4c3f-be50-87c98bc9de11","SJER_006.basePlot.cfc","D17","SJER","SJER_006","distributed","2kN0Z0OxE8FufroDTO/Jjpr0TrwPlb+xOHccQZBen58=",,"2019-03-27T15:42Z","2019-03-29T00:06Z","2019-04-02T17:08Z","OK","2kN0Z0OxE8FufroDTO/Jjpr0TrwPlb+xzmIMFYEWGkMky1ddrsoCZA==","A00000062397","2kN0Z0OxE8FufroDTO/Jjpr0TrwPlb+xn1Sc+kcmEveHylWIpSdRxA==","A00000062398","2kN0Z0OxE8FufroDTO/Jjpr0TrwPlb+xoJGIl4ZMM60TRD+uBAgOvw==","A00000062399",,,"0000-0002-9129-5419",,
"60e84a27-2066-4bfe-a491-ac652ab19dc0","SJER_025.basePlot.cfc","D17","SJER","SJER_025","distributed","2kN0Z0OxE8EMu3R8eYj5xN/6hDPf09jF06PkPHv+LqU=",,"2019-03-27T17:42Z","2019-03-29T00:00Z","2019-04-02T15:48Z","OK","2kN0Z0OxE8EMu3R8eYj5xN/6hDPf09jFTcbykIp7u7M=","A00000061806","2kN0Z0OxE8EMu3R8eYj5xN/6hDPf09jFqC9BFzbNoVk=","A00000061805","2kN0Z0OxE8EMu3R8eYj5xN/6hDPf09jFxMbmwKyJCFc=","A00000061804",,"N","0000-0002-9129-5419",,
"ca081059-d32d-44c6-8ac3-88c3ca3ebd65","SJER_025.basePlot.cfc","D17","SJER","SJER_025","distributed","2kN0Z0OxE8Hz4DkUohEzLJNSvGT/VDdp/4tY5xL1ALs=",,"2019-03-27T18:13Z","2019-03-29T00:00Z","2019-04-02T17:17Z","OK","2kN0Z0OxE8Hz4DkUohEzLJNSvGT/VDdpnwDOvZT82ZE=","A00000062400","2kN0Z0OxE8Hz4DkUohEzLJNSvGT/VDdpykaxEJHmbBo=","A00000062401","2kN0Z0OxE8Hz4DkUohEzLJNSvGT/VDdpfXsqgNIP5+k=","A00000062402",,,"0000-0002-9129-5419",,
"86bf3525-1e62-4ad2-a456-9b12de135465","SJER_014.basePlot.cfc","D17","SJER","SJER_014","distributed","2kN0Z0OxE8GgcyGjlRGWMpEXrHmkEBaOQWcTWbMHN08=",,"2019-03-27T20:35Z","2019-03-29T00:00Z","2019-04-02T15:41Z","OK","2kN0Z0OxE8GgcyGjlRGWMpEXrHmkEBaOrkQ0RUc83iY=","A00000061789","2kN0Z0OxE8GgcyGjlRGWMpEXrHmkEBaOy4wBBxkeDsA=","A00000061808","2kN0Z0OxE8GgcyGjlRGWMpEXrHmkEBaOg5nDUA9q7Ac=","A00000061807",,"N","0000-0002-9129-5419",,
"ec75a112-94ea-4182-8ba3-49e981d7e9bc","SJER_016.basePlot.cfc","D17","SJER","SJER_016","distributed","2kN0Z0OxE8FjnNzpkc8JhHgREbvwdKYSE9oPpOCEWbE=",,"2019-03-27T21:23Z","2019-03-29T00:00Z","2019-04-02T17:23Z","OK","2kN0Z0OxE8FjnNzpkc8JhHgREbvwdKYSqkvl6DT+vB8=","A00000062403","2kN0Z0OxE8FjnNzpkc8JhHgREbvwdKYSiWa2F+KqUyK88dZQndFA5w==","A00000062404","2kN0Z0OxE8FjnNzpkc8JhHgREbvwdKYSM2R9SOiVUgQ=","A00000062535",,,"0000-0002-9129-5419",,
"a8ab98c5-75d8-4a49-b1ee-c07a48f27e47","SJER_016.basePlot.cfc","D17","SJER","SJER_016","distributed","2kN0Z0OxE8EdHCE0H8fEFSNc/DiPr5nV8NJ5SNU81LY=",,"2019-03-27T21:28Z","2019-03-29T00:00Z","2019-04-02T15:21Z","OK","2kN0Z0OxE8EdHCE0H8fEFSNc/DiPr5nVFlo2WUqHsLg=","A00000061795","2kN0Z0OxE8EdHCE0H8fEFSNc/DiPr5nV5yDHVnI7EjQ=","A00000061794","2kN0Z0OxE8EdHCE0H8fEFSNc/DiPr5nVoHV/t2bk6OM=","A00000061793",,"N","0000-0002-9129-5419",,
"e6dbb920-5ef2-4af8-ac32-1cb881bab483","SJER_001.basePlot.cfc","D17","SJER","SJER_001","distributed","2kN0Z0OxE8EKT18zkbawyweuoYHqBzNxqV5SFrxN3s4=",,"2019-03-28T15:47Z","2019-03-29T00:00Z","2019-04-02T16:11Z","OK","2kN0Z0OxE8EKT18zkbawyweuoYHqBzNxAvh1PXQ/AQI=","A00000061801","2kN0Z0OxE8EKT18zkbawyweuoYHqBzNxGIi+TAEeNKA=","A00000061799","2kN0Z0OxE8EKT18zkbawyweuoYHqBzNxttwYXrfeUu0=","A00000062389",,"N","0000-0002-9129-5419",,
"cf1eba3f-223e-4364-bf8e-86cf1d5e7000","SJER_019.basePlot.cfc","D17","SJER","SJER_019","distributed","2kN0Z0OxE8ESp2OZlPr9inkwNhuc0nx/4T8gEhL9cSI=",,"2019-03-28T16:40Z","2019-03-29T00:06Z","2019-04-02T18:32Z","OK","2kN0Z0OxE8ESp2OZlPr9inkwNhuc0nx/d9SyuQAnXNs=","A00000062421","2kN0Z0OxE8ESp2OZlPr9inkwNhuc0nx/sagqbadMz8M=","A00000062422","2kN0Z0OxE8ESp2OZlPr9inkwNhuc0nx/P/Pyg1yoLOU=","A00000062423",,"N","0000-0002-9129-5419",,
"5d1f4303-29dc-40fd-aedd-bf88b370b5a4","SJER_012.basePlot.cfc","D17","SJER","SJER_012","distributed","2kN0Z0OxE8HfzJ2cXhW90gTLmh7AQNfvvcSjLpKcNC8=",,"2019-03-28T20:09Z","2019-03-28T22:00Z","2019-04-02T18:43Z","OK","2kN0Z0OxE8HfzJ2cXhW90gTLmh7AQNfvX3acrTdyIMM=","A00000062416","2kN0Z0OxE8HfzJ2cXhW90gTLmh7AQNfvbOzK+Ai/x1A=","A00000062424","2kN0Z0OxE8HfzJ2cXhW90gTLmh7AQNfvdk5+1CXuYz4=","A00000062425",,"N","0000-0002-9129-5419",,
"52a5da36-6179-418e-9e16-155c9a7a9afd","SJER_012.basePlot.cfc","D17","SJER","SJER_012","distributed","2kN0Z0OxE8GeT1an5Vbz9ik0z5dixN1NADFlM6/uixk=",,"2019-03-28T20:10Z","2019-03-29T00:00Z","2019-04-02T17:29Z","OK","2kN0Z0OxE8GeT1an5Vbz9ik0z5dixN1N1YRzAnnkSKA=","A00000062405","2kN0Z0OxE8GeT1an5Vbz9ik0z5dixN1N+JeTX0AeImk=","A00000062406","2kN0Z0OxE8GeT1an5Vbz9ik0z5dixN1N+28C4smb1lI=","A00000062529",,,"0000-0002-9129-5419",,
