uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release
5f003270-8e7c-4692-891b-bd6e53aa400f,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=,A00000000780,AVQkM2txccdU9XU1geX3p7dBL1yeO83xV/VGpWjIRYw=,A00000032101,2018-09-05T16:06Z,2020-02-10,1,0.202,25,0.173,0.441,0.704,0.164,0.124,1411,29.7,5.2,26.7,31.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
8b93c1cd-f8d3-4246-8295-eefed9fdd67a,HARV_006.basePlot.cfc,D01,HARV,HARV_006,distributed,AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=,A00000000765,AVQkM2txccff87SxuZNcE+iY147qeowc6HcElX59D0U=,A00000032094,2018-09-05T18:04Z,2020-02-10,1,0.201,25,0.147,0.427,0.605,0.245,0.13,1901,39.8,5.1,42,29.5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
bf110934-2be8-4c9a-913e-eb78990830a1,HARV_006.basePlot.cfc,D01,HARV,HARV_006,distributed,AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=,A00000000747,AVQkM2txcccbfq2mByGOeXPHFFcT7zucYJ0igMOHGDQ=,A00000032134,2018-09-06T13:01Z,2020-02-10,1,0.202,25,0.168,0.534,0.448,0.128,0.135,1115,30.3,6,47.9,13.8,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
4b8bce3e-1aa6-4143-83af-557a066f7619,HARV_006.basePlot.cfc,D01,HARV,HARV_006,distributed,AVQkM2txccenLB73JxEdacLoLcwaSeCKrDi+Yo1Cuyg=,A00000000764,AVQkM2txccenLB73JxEdacLoLcwaSeCKT915s93fus8=,A00000032097,2018-09-06T14:34Z,2020-02-10,1,0.202,25,0.153,0.449,0.579,0.281,0.121,1988,37.1,5,46.5,35.5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
fcb54e9c-6ffb-4a0a-9908-c28a78519416,HARV_004.basePlot.cfc,D01,HARV,HARV_004,distributed,AVQkM2txccfoJDNLYOYIVdYKO96X0hP5YNhoGUjrzdg=,A00000000743,AVQkM2txccfoJDNLYOYIVdYKO96X0hP5GW7F37o0G84=,A00000032140,2018-09-06T16:56Z,2020-02-10,1,0.2,25,0.149,0.501,0.861,0.25,0.129,1764,35.9,19.9,34.7,39.6,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
7749e87c-0adc-454e-abf5-b9ff932e5967,HARV_004.basePlot.cfc,D01,HARV,HARV_004,distributed,AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7W5OTZwMQwvE=,A00000000758,AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7fGYYZ+4JSduLj8Roq1NxBw==,A00000032136,2018-09-06T18:11Z,2020-02-10,1,0.199,25,0.141,0.911,1.042,0.383,0.175,1897,65,10,76.2,243.2,OK,OK,OK,OK,OK,OK,OK,OK,OK,sample value outlier,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
354eca70-0b3f-4391-a49c-ef7b74de9081,HARV_004.basePlot.cfc,D01,HARV,HARV_004,distributed,AVQkM2txcccSmS/+trysX9MD/YSgk8+T4vjMfdPDA4I=,A00000000767,AVQkM2txcccSmS/+trysX9MD/YSgk8+TQoAXtiovxzs=,A00000032061,2018-09-07T14:22Z,2020-02-10,1,0.198,25,0.122,0.506,0.937,0.256,0.141,1082,35.4,6.5,29.3,18.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
e2768b49-5174-4ac9-8abc-deea5980458c,HARV_010.basePlot.cfc,D01,HARV,HARV_010,distributed,AVQkM2txcccPybg3jdEvENrtT75oYMHcXgqTe+G80ok=,A00000000790,AVQkM2txcccPybg3jdEvENrtT75oYMHc8qvviMW25Wk=,A00000032083,2018-09-07T17:11Z,2020-02-10,1,0.197,25,0.125,0.409,0.253,0.136,0.111,295.4,40.5,3.3,17.6,29,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
60af01bd-fef3-4bde-9711-d3da5a7a7317,HARV_010.basePlot.cfc,D01,HARV,HARV_010,distributed,AVQkM2txcccewditTwq1KuTCeBLO/0I69XwYsO5JkgA=,A00000000759,AVQkM2txcccewditTwq1KuTCeBLO/0I6ezujqtZiDo0=,A00000032079,2018-09-07T17:18Z,2020-02-10,1,0.206,25,0.105,0.436,1.03,0.214,0.103,935.6,39.1,3.7,52.5,28.2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
50324d46-136a-4521-82a9-948f445a0a7f,HARV_010.basePlot.cfc,D01,HARV,HARV_010,distributed,AVQkM2txcccWZgV/vveh/oF23uonq/XmCwAmhLDCbJc=,A00000000766,AVQkM2txcccWZgV/vveh/oF23uonq/XmzvY2DmXY2zc=,A00000032077,2018-09-07T18:21Z,2020-02-10,1,0.198,25,0.194,0.756,0.277,0.124,0.119,300.7,30.7,3.8,27.4,12.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
